Symbol,industry
CARBORUNIV,abrasives
GRINDWELL,abrasives
WENDT,abrasives
SIGNPOST,advertisingmedia
VERTOZ,advertisingmedia
BBTC,agriculture
KSCL,agriculture
VENKEYS,agriculture
BSHSL,agriculture
KOTYARK,agriculture
INDOUS,agriculture
VOLTAS,airconditioners
BLUESTARCO,airconditioners
AMBER,airconditioners
JCHAC,airconditioners
EPACK,airconditioners
INDIGO,airlines
GMRINFRA,airportmanagementservices
DREAMFOLKS,airportmanagementservices
NATIONALUM,aluminiumaluminiumproducts
HARDWYN,aluminiumaluminiumproducts
MMP,aluminiumaluminiumproducts
MAANALU,aluminiumaluminiumproducts
WONDERLA,amusementparksrecreationclub
IMAGICAA,amusementparksrecreationclub
DELTACORP,amusementparksrecreationclub
GODREJAGRO,animalfeed
APEX,aquaculture
MOTHERSON,autoancillary
BOSCHLTD,autoancillary
UNOMINDA,autoancillary
SONACOMS,autoancillary
ENDURANCE,autoancillary
SUNDRMFAST,autoancillary
TVSHLTD,autoancillary
ZFCVINDIA,autoancillary
JBMA,autoancillary
MINDACORP,autoancillary
CRAFTSMAN,autoancillary
MAHSCOOTER,autoancillary
SANSERA,autoancillary
ASKAUTOLTD,autoancillary
VARROC,autoancillary
BANCOINDIA,autoancillary
GABRIEL,autoancillary
SUPRAJIT,autoancillary
PRICOLLTD,autoancillary
SHARDAMOTR,autoancillary
SUNCLAY,autoancillary
JTEKTINDIA,autoancillary
LGBBROSLTD,autoancillary
FIEMIND,autoancillary
JAMNAAUTO,autoancillary
SUBROS,autoancillary
SHANTIGEAR,autoancillary
SJS,autoancillary
LUMAXTECH,autoancillary
SANDHAR,autoancillary
SSWL,autoancillary
PRECAM,autoancillary
AUTOAXLES,autoancillary
RAJRATAN,autoancillary
FMGOETZE,autoancillary
LUMAXIND,autoancillary
TALBROAUTO,autoancillary
GNA,autoancillary
WHEELS,autoancillary
NDRAUTO,autoancillary
INDNIPPON,autoancillary
HITECHGEAR,autoancillary
KROSS,autoancillary
RML,autoancillary
RICOAUTO,autoancillary
ASAL,autoancillary
MUNJALAU,autoancillary
JAYBARMARU,autoancillary
RACLGEAR,autoancillary
RBL,autoancillary
HINDCOMPOS,autoancillary
MUNJALSHOW,autoancillary
REMSONSIND,autoancillary
SHIVAMAUTO,autoancillary
LANDMARK,automobilesdealersdistributors
PVSL,automobilesdealersdistributors
M&M,automobilespassengercars
MARUTI,automobilespassengercars
HYUNDAI,automobilespassengercars
HINDMOTORS,automobilespassengercars
ESCORTS,automobilestractors
VSTTILLERS,automobilestractors
TATAMOTORS,automobilestruckslcv
ASHOKLEY,automobilestruckslcv
OLECTRA,automobilestruckslcv
FORCEMOT,automobilestruckslcv
SMLISUZU,automobilestruckslcv
BAJAJ-AUTO,automobiletwothreewheelers
EICHERMOT,automobiletwothreewheelers
TVSMOTOR,automobiletwothreewheelers
HEROMOTOCO,automobiletwothreewheelers
OLAELEC,automobiletwothreewheelers
ATULAUTO,automobiletwothreewheelers
HDFCBANK,bankprivate
ICICIBANK,bankprivate
AXISBANK,bankprivate
KOTAKBANK,bankprivate
IDBI,bankprivate
INDUSINDBK,bankprivate
YESBANK,bankprivate
FEDERALBNK,bankprivate
IDFCFIRSTB,bankprivate
AUBANK,bankprivate
BANDHANBNK,bankprivate
KARURVYSYA,bankprivate
CUB,bankprivate
J&KBANK,bankprivate
RBLBANK,bankprivate
KTKBANK,bankprivate
TMB,bankprivate
EQUITASBNK,bankprivate
SOUTHBANK,bankprivate
UJJIVANSFB,bankprivate
CSBBANK,bankprivate
JSFB,bankprivate
DCBBANK,bankprivate
UTKARSHBNK,bankprivate
FINOPB,bankprivate
ESAFSFB,bankprivate
SURYODAY,bankprivate
CAPITALSFB,bankprivate
DHANBANK,bankprivate
SBIN,bankpublic
BANKBARODA,bankpublic
PNB,bankpublic
IOB,bankpublic
CANBK,bankpublic
UNIONBANK,bankpublic
INDIANB,bankpublic
UCOBANK,bankpublic
BANKINDIA,bankpublic
CENTRALBK,bankpublic
MAHABANK,bankpublic
PSB,bankpublic
EXIDEIND,batteries
ARE&M,batteries
HBLPOWER,batteries
EVEREADY,batteries
SCHAEFFLER,bearings
TIMKEN,bearings
SKFINDIA,bearings
ROLEXRINGS,bearings
NRBBEARING,bearings
MENONBE,bearings
NAUKRI,bpoites
FSL,bpoites
AFFLE,bpoites
ECLERX,bpoites
QUESS,bpoites
JUSTDIAL,bpoites
CMSINFO,bpoites
EMUDHRA,bpoites
HGS,bpoites
VAKRANGEE,bpoites
ALLDIGI,bpoites
ONEPOINT,bpoites
CREATIVE,bpoites
MATRIMONY,bpoites
IRIS,bpoites
UNITDSPR,breweriesdistilleries
UBL,breweriesdistilleries
RADICO,breweriesdistilleries
ABDL,breweriesdistilleries
TI,breweriesdistilleries
SULA,breweriesdistilleries
GLOBUSSPR,breweriesdistilleries
SDBL,breweriesdistilleries
ASALCBR,breweriesdistilleries
GMBREW,breweriesdistilleries
SAGILITY,businesssupport
LATENTVIEW,businesssupport
MEDIASSIST,businesssupport
ECOSMOBLTY,businesssupport
RKSWAMY,businesssupport
KRYSTAL,businesssupport
AGSTRA,businesssupport
TAC,businesssupport
PTL,businesssupport
POLYCAB,cable
KEI,cable
FINCABLES,cable
RRKABEL,cable
DIACABS,cable
STLTECH,cable
PRECWIRE,cable
DYCL,cable
PARACABLES,cable
UNIVCABLES,cable
VMARCIND,cable
BIRLACABLE,cable
PCBL,carbonblack
GOACARBON,carbonblack
HIGREEN,carbonblack
AIAENG,castingsforgings
PTCIL,castingsforgings
ELECTCAST,castingsforgings
ALICON,castingsforgings
STEELCAS,castingsforgings
NELCAST,castingsforgings
SGIL,castingsforgings
ULTRACEMCO,cementconstructionmaterials
GRASIM,cementconstructionmaterials
AMBUJACEM,cementconstructionmaterials
SHREECEM,cementconstructionmaterials
ACC,cementconstructionmaterials
DALBHARAT,cementconstructionmaterials
JKCEMENT,cementconstructionmaterials
RAMCOCEM,cementconstructionmaterials
NUVOCO,cementconstructionmaterials
INDIACEM,cementconstructionmaterials
BIRLACORPN,cementconstructionmaterials
PRSMJOHNSN,cementconstructionmaterials
JKLAKSHMI,cementconstructionmaterials
STARCEMENT,cementconstructionmaterials
KESORAMIND,cementconstructionmaterials
ORIENTCEM,cementconstructionmaterials
HEIDELBERG,cementconstructionmaterials
KCP,cementconstructionmaterials
SAGCEM,cementconstructionmaterials
RAMCOIND,cementconstructionmaterials
MANGLMCEM,cementconstructionmaterials
SANGHIIND,cementconstructionmaterials
HIL,cementconstructionmaterials
UDAICEMENT,cementconstructionmaterials
SHREDIGCEM,cementconstructionmaterials
EVERESTIND,cementconstructionmaterials
SAURASHCEM,cementconstructionmaterials
NCLIND,cementconstructionmaterials
DECCANCE,cementconstructionmaterials
VISAKAIND,cementconstructionmaterials
ACL,cementconstructionmaterials
APCL,cementconstructionmaterials
KAJARIACER,ceramicsmarblegranitesanitaryware
CERA,ceramicsmarblegranitesanitaryware
POKARNA,ceramicsmarblegranitesanitaryware
SOMANYCERA,ceramicsmarblegranitesanitaryware
ASIANTILES,ceramicsmarblegranitesanitaryware
NITCO,ceramicsmarblegranitesanitaryware
GSLSU,ceramicsmarblegranitesanitaryware
PIDILITIND,chemicals
SOLARINDS,chemicals
SRF,chemicals
FLUOROCHEM,chemicals
DEEPAKNTR,chemicals
GODREJIND,chemicals
TATACHEM,chemicals
HSCL,chemicals
ATUL,chemicals
VINATIORGA,chemicals
NAVINFLUOR,chemicals
AARTIIND,chemicals
FINEORG,chemicals
SPLPETRO,chemicals
CLEAN,chemicals
JUBLINGREA,chemicals
AETHER,chemicals
ALKYLAMINE,chemicals
EPIGRAL,chemicals
ACI,chemicals
ANURAS,chemicals
CHEMPLASTS,chemicals
LXCHEM,chemicals
PRIVISCL,chemicals
BALAMINES,chemicals
GHCL,chemicals
GUJALKALI,chemicals
NEOGEN,chemicals
STYRENIX,chemicals
NOCIL,chemicals
ROSSARI,chemicals
INDIAGLYCO,chemicals
JUBLINDS,chemicals
FCL,chemicals
TIRUMALCHM,chemicals
SHK,chemicals
BEPL,chemicals
DCW,chemicals
FOSECOIND,chemicals
VISHNU,chemicals
PLATIND,chemicals
PREMEXPLN,chemicals
MOL,chemicals
TATVA,chemicals
CAMLINFINE,chemicals
GOCLCORP,chemicals
YASHO,chemicals
IGPL,chemicals
SIGACHI,chemicals
JGCHEM,chemicals
SADHNANIQ,chemicals
CHEMFAB,chemicals
OAL,chemicals
AMNPLST,chemicals
DVL,chemicals
INDOAMIN,chemicals
ANDHRSUGAR,chemicals
HEUBACHIND,chemicals
SRHHYPOLTD,chemicals
MANALIPETC,chemicals
FAIRCHEMOR,chemicals
GANESHBE,chemicals
DMCC,chemicals
VALIANTORG,chemicals
JAYAGROGN,chemicals
CHEMCON,chemicals
HPAL,chemicals
CHEMBOND,chemicals
KRONOX,chemicals
PLASTIBLEN,chemicals
INDOBORAX,chemicals
DICIND,chemicals
VIKASECO,chemicals
KANORICHEM,chemicals
DIAMINESQ,chemicals
ITC,cigarettestobacco
GODFRYPHLP,cigarettestobacco
VSTIND,cigarettestobacco
ELGIEQUIP,compressorspumps
KSB,compressorspumps
INGERRAND,compressorspumps
KIRLPNU,compressorspumps
SHAKTIPUMP,compressorspumps
DYNAMATECH,compressorspumps
ROTO,compressorspumps
DLF,constructionrealestate
LODHA,constructionrealestate
GODREJPROP,constructionrealestate
OBEROIRLTY,constructionrealestate
PRESTIGE,constructionrealestate
PHOENIXLTD,constructionrealestate
BRIGADE,constructionrealestate
NBCC,constructionrealestate
ANANTRAJ,constructionrealestate
SIGNATURE,constructionrealestate
SOBHA,constructionrealestate
GANESHHOUC,constructionrealestate
PURVA,constructionrealestate
DBREALTY,constructionrealestate
MAXESTATES,constructionrealestate
RUSTOMJEE,constructionrealestate
EMBDL,constructionrealestate
MAHLIFE,constructionrealestate
WELENT,constructionrealestate
SUNTECK,constructionrealestate
AHLUCONT,constructionrealestate
TARC,constructionrealestate
HEMIPROP,constructionrealestate
ARVSMART,constructionrealestate
AJMERA,constructionrealestate
HUBTOWN,constructionrealestate
CAPACITE,constructionrealestate
ASHIANA,constructionrealestate
MARATHON,constructionrealestate
SURAJEST,constructionrealestate
ARKADE,constructionrealestate
UNITECH,constructionrealestate
KOLTEPATIL,constructionrealestate
PSPPROJECT,constructionrealestate
AGIIL,constructionrealestate
SBGLP,constructionrealestate
OMAXE,constructionrealestate
TEXINFRA,constructionrealestate
SHRIRAMPPS,constructionrealestate
ARIHANTSUP,constructionrealestate
BLKASHYAP,constructionrealestate
BIGBLOC,constructionrealestate
PENINLAND,constructionrealestate
RPPINFRA,constructionrealestate
BLAL,constructionrealestate
GARUDA,constructionrealestate
TREL,constructionrealestate
GEECEE,constructionrealestate
DBEIL,constructionrealestate
ELDEHSG,constructionrealestate
PARSVNATH,constructionrealestate
PVP,constructionrealestate
VISHNUINFR,constructionrealestate
NILASPACES,constructionrealestate
KBCGLOBAL,constructionrealestate
SUMIT,constructionrealestate
NILAINFRA,constructionrealestate
EMAMIREAL,constructionrealestate
BEML,constructionvehicles
ACE,constructionvehicles
TIL,constructionvehicles
CROMPTON,consumerdurablesdomesticappliances
WHIRLPOOL,consumerdurablesdomesticappliances
PGEL,consumerdurablesdomesticappliances
EUREKAFORB,consumerdurablesdomesticappliances
TTKPRESTIG,consumerdurablesdomesticappliances
SYMPHONY,consumerdurablesdomesticappliances
BAJAJELEC,consumerdurablesdomesticappliances
IFBIND,consumerdurablesdomesticappliances
BOROLTD,consumerdurablesdomesticappliances
ORIENTELEC,consumerdurablesdomesticappliances
STOVEKRAFT,consumerdurablesdomesticappliances
HINDWAREAP,consumerdurablesdomesticappliances
BUTTERFLY,consumerdurablesdomesticappliances
DIXON,consumerdurableselectronics
HONAUT,consumerdurableselectronics
WEL,consumerdurableselectronics
ELIN,consumerdurableselectronics
NESTLEIND,consumerfood
VBL,consumerfood
BRITANNIA,consumerfood
MARICO,consumerfood
JUBLFOOD,consumerfood
HATSUN,consumerfood
BIKAJI,consumerfood
DEVYANI,consumerfood
LTFOODS,consumerfood
ZYDUSWELL,consumerfood
BECTORFOOD,consumerfood
SAPPHIRE,consumerfood
AVANTIFEED,consumerfood
DODLA,consumerfood
KRBL,consumerfood
HNDFDS,consumerfood
GOPAL,consumerfood
HERITGFOOD,consumerfood
ADFFOODS,consumerfood
VADILALIND,consumerfood
TASTYBITE,consumerfood
PARAGMILK,consumerfood
DIAMONDYD,consumerfood
SANSTAR,consumerfood
HMAAGRO,consumerfood
CLSEL,consumerfood
GRMOVER,consumerfood
MUKKA,consumerfood
AVTNPL,consumerfood
GULPOLY,consumerfood
SARVESHWAR,consumerfood
SUKHJITS,consumerfood
FOODSIN,consumerfood
ANNAPURNA,consumerfood
KNAGRI,consumerfood
SKMEGGPROD,consumerfood
KRISHIVAL,consumerfood
PROV,consumerfood
IFBAGRO,consumerfood
EIFFL,consumerfood
DELHIVERY,courierservices
BLUEDART,courierservices
VLEGOV,courierservices
TIINDIA,cycles
HAL,defence
BDL,defence
DATAPATTNS,defence
ASTRAMICRO,defence
PARAS,defence
KRISHNADEF,defence
CC,defence
CDSL,depositoryservices
CAMS,depositoryservices
KFINTECH,depositoryservices
TITAN,diamondjewellery
KALYANKJIL,diamondjewellery
PCJEWELLER,diamondjewellery
SENCO,diamondjewellery
RAJESHEXPO,diamondjewellery
SKYGOLD,diamondjewellery
THANGAMAYL,diamondjewellery
GOLDIAM,diamondjewellery
DPABHUSHAN,diamondjewellery
MOTISONS,diamondjewellery
RGL,diamondjewellery
TBZ,diamondjewellery
RADHIKAJWE,diamondjewellery
RBZJEWEL,diamondjewellery
LGHL,diamondjewellery
UTSSAV,diamondjewellery
CUMMINSIND,dieselengines
GREAVESCOT,dieselengines
SWARAJENG,dieselengines
MINDIA,diversified
DCMSHRIRAM,diversified
