Symbol,industry
MOTHERSON.NS,autoancillary
BOSCHLTD.NS,autoancillary
UNOMINDA.NS,autoancillary
SONACOMS.NS,autoancillary
ENDURANCE.NS,autoancillary
SUNDRMFAST.NS,autoancillary
TVSHLTD.NS,autoancillary
ZFCVINDIA.NS,autoancillary
JBMA.NS,autoancillary
MINDACORP.NS,autoancillary
CRAFTSMAN.NS,autoancillary
MAHSCOOTER.NS,autoancillary
SANSERA.NS,autoancillary
ASKAUTOLTD.NS,autoancillary
VARROC.NS,autoancillary
BANCOINDIA.NS,autoancillary
GABRIEL.NS,autoancillary
SUPRAJIT.NS,autoancillary
PRICOLLTD.NS,autoancillary
SHARDAMOTR.NS,autoancillary
SUNCLAY.NS,autoancillary
JTEKTINDIA.NS,autoancillary
LGBBROSLTD.NS,autoancillary
FIEMIND.NS,autoancillary
JAMNAAUTO.NS,autoancillary
SUBROS.NS,autoancillary
SHANTIGEAR.NS,autoancillary
SJS.NS,autoancillary
LUMAXTECH.NS,autoancillary
SANDHAR.NS,autoancillary
SSWL.NS,autoancillary
PRECAM.NS,autoancillary
AUTOAXLES.NS,autoancillary
RAJRATAN.NS,autoancillary
FMGOETZE.NS,autoancillary
LUMAXIND.NS,autoancillary
TALBROAUTO.NS,autoancillary
GNA.NS,autoancillary
WHEELS.NS,autoancillary
NDRAUTO.NS,autoancillary
INDNIPPON.NS,autoancillary
HITECHGEAR.NS,autoancillary
KROSS.NS,autoancillary
RML.NS,autoancillary
RICOAUTO.NS,autoancillary
ASAL.NS,autoancillary
MUNJALAU.NS,autoancillary
JAYBARMARU.NS,autoancillary
RACLGEAR.NS,autoancillary
RBL.NS,autoancillary
HINDCOMPOS.NS,autoancillary
MUNJALSHOW.NS,autoancillary
REMSONSIND.NS,autoancillary
SHIVAMAUTO.NS,autoancillary
