Symbol,industry
HDFCBANK.NS,bankprivate
ICICIBANK.NS,bankprivate
AXISBANK.NS,bankprivate
KOTAKBANK.NS,bankprivate
IDBI.NS,bankprivate
INDUSINDBK.NS,bankprivate
YESBANK.NS,bankprivate
FEDERALBNK.NS,bankprivate
IDFCFIRSTB.NS,bankprivate
AUBANK.NS,bankprivate
BANDHANBNK.NS,bankprivate
KARURVYSYA.NS,bankprivate
CUB.NS,bankprivate
J&KBANK.NS,bankprivate
RBLBANK.NS,bankprivate
KTKBANK.NS,bankprivate
TMB.NS,bankprivate
EQUITASBNK.NS,bankprivate
SOUTHBANK.NS,bankprivate
UJJIVANSFB.NS,bankprivate
CSBBANK.NS,bankprivate
JSFB.NS,bankprivate
DCBBANK.NS,bankprivate
UTKARSHBNK.NS,bankprivate
FINOPB.NS,bankprivate
ESAFSFB.NS,bankprivate
SURYODAY.NS,bankprivate
CAPITALSFB.NS,bankprivate
DHANBANK.NS,bankprivate
