Symbol,industry
PIDILITIND.NS,chemicals
SOLARINDS.NS,chemicals
SRF.NS,chemicals
FLUOROCHEM.NS,chemicals
DEEPAKNTR.NS,chemicals
GODREJIND.NS,chemicals
TATACHEM.NS,chemicals
HSCL.NS,chemicals
ATUL.NS,chemicals
VINATIORGA.NS,chemicals
NAVINFLUOR.NS,chemicals
AARTIIND.NS,chemicals
FINEORG.NS,chemicals
SPLPETRO.NS,chemicals
CLEAN.NS,chemicals
JUBLINGREA.NS,chemicals
AETHER.NS,chemicals
ALKYLAMINE.NS,chemicals
EPIGRAL.NS,chemicals
ACI.NS,chemicals
ANURAS.NS,chemicals
CHEMPLASTS.NS,chemicals
LXCHEM.NS,chemicals
PRIVISCL.NS,chemicals
BALAMINES.NS,chemicals
GHCL.NS,chemicals
GUJALKALI.NS,chemicals
NEOGEN.NS,chemicals
STYRENIX.NS,chemicals
NOCIL.NS,chemicals
ROSSARI.NS,chemicals
INDIAGLYCO.NS,chemicals
JUBLINDS.NS,chemicals
FCL.NS,chemicals
TIRUMALCHM.NS,chemicals
SHK.NS,chemicals
BEPL.NS,chemicals
DCW.NS,chemicals
FOSECOIND.NS,chemicals
VISHNU.NS,chemicals
PLATIND.NS,chemicals
PREMEXPLN.NS,chemicals
MOL.NS,chemicals
TATVA.NS,chemicals
CAMLINFINE.NS,chemicals
GOCLCORP.NS,chemicals
YASHO.NS,chemicals
IGPL.NS,chemicals
SIGACHI.NS,chemicals
JGCHEM.NS,chemicals
SADHNANIQ.NS,chemicals
CHEMFAB.NS,chemicals
OAL.NS,chemicals
AMNPLST.NS,chemicals
DVL.NS,chemicals
INDOAMIN.NS,chemicals
ANDHRSUGAR.NS,chemicals
HEUBACHIND.NS,chemicals
SRHHYPOLTD.NS,chemicals
MANALIPETC.NS,chemicals
FAIRCHEMOR.NS,chemicals
GANESHBE.NS,chemicals
DMCC.NS,chemicals
VALIANTORG.NS,chemicals
JAYAGROGN.NS,chemicals
CHEMCON.NS,chemicals
HPAL.NS,chemicals
CHEMBOND.NS,chemicals
KRONOX.NS,chemicals
PLASTIBLEN.NS,chemicals
INDOBORAX.NS,chemicals
DICIND.NS,chemicals
VIKASECO.NS,chemicals
KANORICHEM.NS,chemicals
DIAMINESQ.NS,chemicals
