Symbol,industry
CROMPTON.NS,consumerdurablesdomesticappliances
WHIRLPOOL.NS,consumerdurablesdomesticappliances
PGEL.NS,consumerdurablesdomesticappliances
EUREKAFORB.NS,consumerdurablesdomesticappliances
TTKPRESTIG.NS,consumerdurablesdomesticappliances
SYMPHONY.NS,consumerdurablesdomesticappliances
BAJAJELEC.NS,consumerdurablesdomesticappliances
IFBIND.NS,consumerdurablesdomesticappliances
BOROLTD.NS,consumerdurablesdomesticappliances
ORIENTELEC.NS,consumerdurablesdomesticappliances
STOVEKRAFT.NS,consumerdurablesdomesticappliances
HINDWAREAP.NS,consumerdurablesdomesticappliances
BUTTERFLY.NS,consumerdurablesdomesticappliances
