Symbol,industry
NESTLEIND.NS,consumerfood
VBL.NS,consumerfood
BRITANNIA.NS,consumerfood
MARICO.NS,consumerfood
JUBLFOOD.NS,consumerfood
HATSUN.NS,consumerfood
BIKAJI.NS,consumerfood
DEVYANI.NS,consumerfood
LTFOODS.NS,consumerfood
ZYDUSWELL.NS,consumerfood
BECTORFOOD.NS,consumerfood
SAPPHIRE.NS,consumerfood
AVANTIFEED.NS,consumerfood
DODLA.NS,consumerfood
KRBL.NS,consumerfood
HNDFDS.NS,consumerfood
GOPAL.NS,consumerfood
HERITGFOOD.NS,consumerfood
ADFFOODS.NS,consumerfood
VADILALIND.NS,consumerfood
TASTYBITE.NS,consumerfood
PARAGMILK.NS,consumerfood
DIAMONDYD.NS,consumerfood
SANSTAR.NS,consumerfood
HMAAGRO.NS,consumerfood
CLSEL.NS,consumerfood
GRMOVER.NS,consumerfood
MUKKA.NS,consumerfood
AVTNPL.NS,consumerfood
GULPOLY.NS,consumerfood
SARVESHWAR.NS,consumerfood
SUKHJITS.NS,consumerfood
FOODSIN.NS,consumerfood
ANNAPURNA.NS,consumerfood
KNAGRI.NS,consumerfood
SKMEGGPROD.NS,consumerfood
KRISHIVAL.NS,consumerfood
PROV.NS,consumerfood
IFBAGRO.NS,consumerfood
EIFFL.NS,consumerfood
