Symbol,industry
SIEMENS.NS,electricequipment
ABB.NS,electricequipment
CGPOWER.NS,electricequipment
HAVELLS.NS,electricequipment
SUZLON.NS,electricequipment
WAAREEENER.NS,electricequipment
POWERINDIA.NS,electricequipment
GVT&D.NS,electricequipment
APARINDS.NS,electricequipment
INOXWIND.NS,electricequipment
SCHNEIDER.NS,electricequipment
VGUARD.NS,electricequipment
TARIL.NS,electricequipment
VOLTAMP.NS,electricequipment
TDPOWERSYS.NS,electricequipment
UEL.NS,electricequipment
CYIENTDLM.NS,electricequipment
BBL.NS,electricequipment
SERVOTECH.NS,electricequipment
HPL.NS,electricequipment
EXICOM.NS,electricequipment
SPECTRUM.NS,electricequipment
INDOTECH.NS,electricequipment
HONDAPOWER.NS,electricequipment
IGARASHI.NS,electricequipment
HIRECT.NS,electricequipment
SALZERELEC.NS,electricequipment
ALPEXSOLAR.NS,electricequipment
MICEL.NS,electricequipment
DANISH.NS,electricequipment
SOLEX.NS,electricequipment
RISHABH.NS,electricequipment
KECL.NS,electricequipment
VILAS.NS,electricequipment
GGBL.NS,electricequipment
FOCUS.NS,electricequipment
JAYBEE.NS,electricequipment
WSI.NS,electricequipment
SUPREMEPWR.NS,electricequipment
MODISONLTD.NS,electricequipment
SPCL.NS,electricequipment
S&SPOWER.NS,electricequipment
