Symbol,industry
BAJAJFINSV.NS,financeinvestment
CHOLAHLDNG.NS,financeinvestment
AIIL.NS,financeinvestment
IIFL.NS,financeinvestment
CGCL.NS,financeinvestment
JSWHL.NS,financeinvestment
JMFINANCIL.NS,financeinvestment
IIFLCAPS.NS,financeinvestment
RELIGARE.NS,financeinvestment
SUNDARMHLD.NS,financeinvestment
PILANIINVS.NS,financeinvestment
NSIL.NS,financeinvestment
KICL.NS,financeinvestment
BFINVEST.NS,financeinvestment
RANEHOLDIN.NS,financeinvestment
MUFIN.NS,financeinvestment
WEALTH.NS,financeinvestment
GKWLIMITED.NS,financeinvestment
CENTRUM.NS,financeinvestment
DHUNINV.NS,financeinvestment
OSWALGREEN.NS,financeinvestment
VLSFINANCE.NS,financeinvestment
MAXIND.NS,financeinvestment
INDOTHAI.NS,financeinvestment
GFLLIMITED.NS,financeinvestment
JPOLYINVST.NS,financeinvestment
STEL.NS,financeinvestment
JINDALPHOT.NS,financeinvestment
RADIANTCMS.NS,financeinvestment
NDGL.NS,financeinvestment
