Symbol,industry
MOTILALOFS.NS,financestockbroking
MCX.NS,financestockbroking
ANGELONE.NS,financestockbroking
ISEC.NS,financestockbroking
CHOICEIN.NS,financestockbroking
SHAREINDIA.NS,financestockbroking
DHANI.NS,financestockbroking
GEOJITFSL.NS,financestockbroking
MONARCH.NS,financestockbroking
DOLATALGO.NS,financestockbroking
SMCGLOBAL.NS,financestockbroking
PAISA.NS,financestockbroking
ARIHANTCAP.NS,financestockbroking
BIRLAMONEY.NS,financestockbroking
PRIMESECU.NS,financestockbroking
EMKAY.NS,financestockbroking
ALANKIT.NS,financestockbroking
ALMONDZ.NS,financestockbroking
