Symbol,industry
INDHOTEL.NS,hotelresortrestaurants
EIHOTEL.NS,hotelresortrestaurants
CHALET.NS,hotelresortrestaurants
LEMONTREE.NS,hotelresortrestaurants
JUNIPER.NS,hotelresortrestaurants
MHRIL.NS,hotelresortrestaurants
ITDC.NS,hotelresortrestaurants
SAMHI.NS,hotelresortrestaurants
PARKHOTELS.NS,hotelresortrestaurants
ORIENTHOT.NS,hotelresortrestaurants
EIHAHOTELS.NS,hotelresortrestaurants
TAJGVK.NS,hotelresortrestaurants
VHLTD.NS,hotelresortrestaurants
HLVLTD.NS,hotelresortrestaurants
ROHLTD.NS,hotelresortrestaurants
KAMATHOTEL.NS,hotelresortrestaurants
ADVANIHOTR.NS,hotelresortrestaurants
SINCLAIR.NS,hotelresortrestaurants
