Symbol,Industry
360ONE,Financial Services
3MINDIA,Diversified
ABB,Capital Goods
ACC,Construction Materials
AIAENG,Capital Goods
APLAPOLLO,Capital Goods
AUBANK,Financial Services
AARTIDRUGS,Healthcare
AARTIIND,Chemicals
AAVAS,Financial Services
ABBOTINDIA,Healthcare
ADANIENT,Metals & Mining
ADANIGREEN,Power
ADANIPORTS,Services
ADANIPOWER,Power
ATGL,Oil Gas & Consumable Fuels
ADANITRANS,Power
AWL,Fast Moving Consumer Goods
ABCAPITAL,Financial Services
ABFRL,Consumer Services
AEGISCHEM,Oil Gas & Consumable Fuels
AETHER,Chemicals
AFFLE,Information Technology
AJANTPHARM,Healthcare
APLLTD,Healthcare
ALKEM,Healthcare
ALKYLAMINE,Chemicals
AMARAJABAT,Automobile and Auto Components
AMBER,Consumer Durables
AMBUJACEM,Construction Materials
ANGELONE,Financial Services
ANURAS,Chemicals
APARINDS,Capital Goods
APOLLOHOSP,Healthcare
APOLLOTYRE,Automobile and Auto Components
APTUS,Financial Services
ACI,Chemicals
ASAHIINDIA,Automobile and Auto Components
ASHOKLEY,Capital Goods
ASIANPAINT,Consumer Durables
ASTERDM,Healthcare
ASTRAL,Capital Goods
ATUL,Chemicals
AUROPHARMA,Healthcare
AVANTIFEED,Fast Moving Consumer Goods
DMART,Consumer Services
AXISBANK,Financial Services
BASF,Chemicals
BEML,Capital Goods
BLS,Consumer Services
BSE,Financial Services
BAJAJ-AUTO,Automobile and Auto Components
BAJFINANCE,Financial Services
BAJAJFINSV,Financial Services
BAJAJHLDNG,Financial Services
BALAMINES,Chemicals
BALKRISIND,Automobile and Auto Components
BALRAMCHIN,Fast Moving Consumer Goods
BANDHANBNK,Financial Services
BANKBARODA,Financial Services
BANKINDIA,Financial Services
MAHABANK,Financial Services
BATAINDIA,Consumer Durables
BAYERCROP,Chemicals
BERGEPAINT,Consumer Durables
BDL,Capital Goods
BEL,Capital Goods
BHARATFORG,Capital Goods
BHEL,Capital Goods
BPCL,Oil Gas & Consumable Fuels
BHARTIARTL,Telecommunication
BIKAJI,Fast Moving Consumer Goods
BIOCON,Healthcare
BIRLACORPN,Construction Materials
BSOFT,Information Technology
BLUEDART,Services
BLUESTARCO,Consumer Durables
BBTC,Fast Moving Consumer Goods
BORORENEW,Capital Goods
BOSCHLTD,Automobile and Auto Components
BRIGADE,Realty
BCG,Information Technology
BRITANNIA,Fast Moving Consumer Goods
MAPMYINDIA,Information Technology
CCL,Fast Moving Consumer Goods
CESC,Power
CGPOWER,Capital Goods
CIEINDIA,Automobile and Auto Components
CRISIL,Financial Services
CSBBANK,Financial Services
CAMPUS,Consumer Durables
CANFINHOME,Financial Services
CANBK,Financial Services
CGCL,Financial Services
CARBORUNIV,Capital Goods
CASTROLIND,Oil Gas & Consumable Fuels
CEATLTD,Automobile and Auto Components
CENTRALBK,Financial Services
CDSL,Financial Services
CENTURYPLY,Consumer Durables
CENTURYTEX,Forest Materials
CERA,Consumer Durables
CHALET,Consumer Services
CHAMBLFERT,Chemicals
CHEMPLASTS,Chemicals
CHOLAHLDNG,Financial Services
CHOLAFIN,Financial Services
CIPLA,Healthcare
CUB,Financial Services
CLEAN,Chemicals
COALINDIA,Oil Gas & Consumable Fuels
COCHINSHIP,Capital Goods
COFORGE,Information Technology
COLPAL,Fast Moving Consumer Goods
CAMS,Financial Services
CONCOR,Services
COROMANDEL,Chemicals
CRAFTSMAN,Automobile and Auto Components
CREDITACC,Financial Services
CROMPTON,Consumer Durables
CUMMINSIND,Capital Goods
CYIENT,Information Technology
DCMSHRIRAM,Diversified
DLF,Realty
DABUR,Fast Moving Consumer Goods
DALBHARAT,Construction Materials
DATAPATTNS,Capital Goods
DEEPAKFERT,Chemicals
DEEPAKNTR,Chemicals
DELHIVERY,Services
DELTACORP,Consumer Services
DEVYANI,Consumer Services
DIVISLAB,Healthcare
DIXON,Consumer Durables
LALPATHLAB,Healthcare
DRREDDY,Healthcare
EIDPARRY,Chemicals
EIHOTEL,Consumer Services
EPL,Capital Goods
EASEMYTRIP,Consumer Services
EICHERMOT,Automobile and Auto Components
ELGIEQUIP,Capital Goods
EMAMILTD,Fast Moving Consumer Goods
ENDURANCE,Automobile and Auto Components
ENGINERSIN,Construction
EQUITASBNK,Financial Services
ERIS,Healthcare
ESCORTS,Capital Goods
EXIDEIND,Automobile and Auto Components
FDC,Healthcare
NYKAA,Consumer Services
FEDERALBNK,Financial Services
FACT,Chemicals
FINEORG,Chemicals
FINCABLES,Capital Goods
FINPIPE,Capital Goods
FSL,Services
FIVESTAR,Financial Services
FORTIS,Healthcare
GRINFRA,Construction
GAIL,Oil Gas & Consumable Fuels
GMMPFAUDLR,Capital Goods
GMRINFRA,Services
GALAXYSURF,Chemicals
GARFIBRES,Textiles
GICRE,Financial Services
GLAND,Healthcare
GLAXO,Healthcare
