Symbol,industry
PIIND.NS,pesticidesagrochemicals
UPL.NS,pesticidesagrochemicals
SUMICHEM.NS,pesticidesagrochemicals
BAYERCROP.NS,pesticidesagrochemicals
BASF.NS,pesticidesagrochemicals
SHARDACROP.NS,pesticidesagrochemicals
DHANUKA.NS,pesticidesagrochemicals
RALLIS.NS,pesticidesagrochemicals
BHARATRAS.NS,pesticidesagrochemicals
BHAGCHEM.NS,pesticidesagrochemicals
IPL.NS,pesticidesagrochemicals
INSECTICID.NS,pesticidesagrochemicals
ASTEC.NS,pesticidesagrochemicals
HERANBA.NS,pesticidesagrochemicals
EXCELINDUS.NS,pesticidesagrochemicals
BESTAGRO.NS,pesticidesagrochemicals
PUNJABCHEM.NS,pesticidesagrochemicals
SHIVALIK.NS,pesticidesagrochemicals
DHARMAJ.NS,pesticidesagrochemicals
NACLIND.NS,pesticidesagrochemicals
NOVAAGRI.NS,pesticidesagrochemicals
