Symbol,industry
SUNPHARMA.NS,pharmaceuticalsdrugs
DIVISLAB.NS,pharmaceuticalsdrugs
CIPLA.NS,pharmaceuticalsdrugs
TORNTPHARM.NS,pharmaceuticalsdrugs
DRREDDY.NS,pharmaceuticalsdrugs
MANKIND.NS,pharmaceuticalsdrugs
ZYDUSLIFE.NS,pharmaceuticalsdrugs
LUPIN.NS,pharmaceuticalsdrugs
AUROPHARMA.NS,pharmaceuticalsdrugs
ALKEM.NS,pharmaceuticalsdrugs
ABBOTINDIA.NS,pharmaceuticalsdrugs
BIOCON.NS,pharmaceuticalsdrugs
GLENMARK.NS,pharmaceuticalsdrugs
GLAXO.NS,pharmaceuticalsdrugs
IPCALAB.NS,pharmaceuticalsdrugs
SYNGENE.NS,pharmaceuticalsdrugs
AJANTPHARM.NS,pharmaceuticalsdrugs
PPLPHARMA.NS,pharmaceuticalsdrugs
SUVENPHAR.NS,pharmaceuticalsdrugs
LAURUSLABS.NS,pharmaceuticalsdrugs
GLAND.NS,pharmaceuticalsdrugs
JBCHEPHARM.NS,pharmaceuticalsdrugs
NATCOPHARM.NS,pharmaceuticalsdrugs
EMCURE.NS,pharmaceuticalsdrugs
PFIZER.NS,pharmaceuticalsdrugs
CONCORDBIO.NS,pharmaceuticalsdrugs
WOCKPHARMA.NS,pharmaceuticalsdrugs
NEULANDLAB.NS,pharmaceuticalsdrugs
APLLTD.NS,pharmaceuticalsdrugs
ERIS.NS,pharmaceuticalsdrugs
JUBLPHARMA.NS,pharmaceuticalsdrugs
CAPLIPOINT.NS,pharmaceuticalsdrugs
ASTRAZEN.NS,pharmaceuticalsdrugs
MARKSANS.NS,pharmaceuticalsdrugs
INDGN.NS,pharmaceuticalsdrugs
SANOFI.NS,pharmaceuticalsdrugs
GRANULES.NS,pharmaceuticalsdrugs
GLS.NS,pharmaceuticalsdrugs
SANOFICONR.NS,pharmaceuticalsdrugs
MEDPLUS.NS,pharmaceuticalsdrugs
AKUMS.NS,pharmaceuticalsdrugs
PGHL.NS,pharmaceuticalsdrugs
AMIORG.NS,pharmaceuticalsdrugs
ORCHPHARMA.NS,pharmaceuticalsdrugs
BLUEJET.NS,pharmaceuticalsdrugs
FDC.NS,pharmaceuticalsdrugs
SHILPAMED.NS,pharmaceuticalsdrugs
SPARC.NS,pharmaceuticalsdrugs
STAR.NS,pharmaceuticalsdrugs
SUPRIYA.NS,pharmaceuticalsdrugs
INNOVACAP.NS,pharmaceuticalsdrugs
AARTIPHARM.NS,pharmaceuticalsdrugs
UNICHEMLAB.NS,pharmaceuticalsdrugs
HIKAL.NS,pharmaceuticalsdrugs
SEQUENT.NS,pharmaceuticalsdrugs
MOREPENLAB.NS,pharmaceuticalsdrugs
GUFICBIO.NS,pharmaceuticalsdrugs
DCAL.NS,pharmaceuticalsdrugs
ADVENZYMES.NS,pharmaceuticalsdrugs
AARTIDRUGS.NS,pharmaceuticalsdrugs
SOLARA.NS,pharmaceuticalsdrugs
RPGLIFE.NS,pharmaceuticalsdrugs
ALEMBICLTD.NS,pharmaceuticalsdrugs
SUVEN.NS,pharmaceuticalsdrugs
INDOCO.NS,pharmaceuticalsdrugs
THEMISMED.NS,pharmaceuticalsdrugs
PANACEABIO.NS,pharmaceuticalsdrugs
WINDLAS.NS,pharmaceuticalsdrugs
IOLCP.NS,pharmaceuticalsdrugs
TTKHLTCARE.NS,pharmaceuticalsdrugs
HESTERBIO.NS,pharmaceuticalsdrugs
SMSPHARMA.NS,pharmaceuticalsdrugs
BETA.NS,pharmaceuticalsdrugs
SYNCOMF.NS,pharmaceuticalsdrugs
AMRUTANJAN.NS,pharmaceuticalsdrugs
LINCOLN.NS,pharmaceuticalsdrugs
JAGSNPHARM.NS,pharmaceuticalsdrugs
ZOTA.NS,pharmaceuticalsdrugs
BLISSGVS.NS,pharmaceuticalsdrugs
REMUS.NS,pharmaceuticalsdrugs
BAJAJHCARE.NS,pharmaceuticalsdrugs
NGLFINE.NS,pharmaceuticalsdrugs
KOPRAN.NS,pharmaceuticalsdrugs
WANBURY.NS,pharmaceuticalsdrugs
ALBERTDAVD.NS,pharmaceuticalsdrugs
MEDICAMEQ.NS,pharmaceuticalsdrugs
NECLIFE.NS,pharmaceuticalsdrugs
SAKAR.NS,pharmaceuticalsdrugs
INDSWFTLAB.NS,pharmaceuticalsdrugs
ZIMLAB.NS,pharmaceuticalsdrugs
LYKALABS.NS,pharmaceuticalsdrugs
ACCENTMIC.NS,pharmaceuticalsdrugs
KILITCH.NS,pharmaceuticalsdrugs
VALIANTLAB.NS,pharmaceuticalsdrugs
