Symbol,industry
SUPREMEIND.NS,plasticproducts
ASTRAL.NS,plasticproducts
FINPIPE.NS,plasticproducts
GRWRHITECH.NS,plasticproducts
TIMETECHNO.NS,plasticproducts
EPL.NS,plasticproducts
RESPONIND.NS,plasticproducts
JAICORPLTD.NS,plasticproducts
SHAILY.NS,plasticproducts
JISLJALEQS.NS,plasticproducts
PRINCEPIPE.NS,plasticproducts
JINDALPOLY.NS,plasticproducts
POLYPLEX.NS,plasticproducts
UFLEX.NS,plasticproducts
KINGFA.NS,plasticproducts
XPROINDIA.NS,plasticproducts
NILKAMAL.NS,plasticproducts
TARSONS.NS,plasticproducts
COSMOFIRST.NS,plasticproducts
MOLDTKPAC.NS,plasticproducts
HUHTAMAKI.NS,plasticproducts
APOLLOPIPE.NS,plasticproducts
ESFL.NS,plasticproducts
ESTER.NS,plasticproducts
PPL.NS,plasticproducts
COOLCAPS.NS,plasticproducts
KRITI.NS,plasticproducts
TPLPLASTEH.NS,plasticproducts
TIRUPATI.NS,plasticproducts
NAHARPOLY.NS,plasticproducts
BALAJEE.NS,plasticproducts
SHREERAMA.NS,plasticproducts
PREMIERPOL.NS,plasticproducts
