Symbol,industry
NTPC.NS,powergenerationdistribution
POWERGRID.NS,powergenerationdistribution
ADANIPOWER.NS,powergenerationdistribution
ADANIGREEN.NS,powergenerationdistribution
TATAPOWER.NS,powergenerationdistribution
NTPCGREEN.NS,powergenerationdistribution
JSWENERGY.NS,powergenerationdistribution
ADANIENSOL.NS,powergenerationdistribution
NHPC.NS,powergenerationdistribution
TORNTPOWER.NS,powergenerationdistribution
SJVN.NS,powergenerationdistribution
NLCINDIA.NS,powergenerationdistribution
CESC.NS,powergenerationdistribution
RPOWER.NS,powergenerationdistribution
ACMESOLAR.NS,powergenerationdistribution
IEX.NS,powergenerationdistribution
NAVA.NS,powergenerationdistribution
IWEL.NS,powergenerationdistribution
JPPOWER.NS,powergenerationdistribution
RELINFRA.NS,powergenerationdistribution
KPIGREEN.NS,powergenerationdistribution
GMRP&UI.NS,powergenerationdistribution
RTNPOWER.NS,powergenerationdistribution
PTC.NS,powergenerationdistribution
BFUTILITIE.NS,powergenerationdistribution
GIPCL.NS,powergenerationdistribution
RELTD.NS,powergenerationdistribution
GREENPOWER.NS,powergenerationdistribution
DPSCLTD.NS,powergenerationdistribution
URJA.NS,powergenerationdistribution
GVKPIL.NS,powergenerationdistribution
