Symbol,industry
BHARTIARTL.NS,telecommunicationserviceprovider
INDUSTOWER.NS,telecommunicationserviceprovider
BHARTIHEXA.NS,telecommunicationserviceprovider
IDEA.NS,telecommunicationserviceprovider
TATACOMM.NS,telecommunicationserviceprovider
TTML.NS,telecommunicationserviceprovider
RAILTEL.NS,telecommunicationserviceprovider
MTNL.NS,telecommunicationserviceprovider
HATHWAY.NS,telecommunicationserviceprovider
SARTELE.NS,telecommunicationserviceprovider
KDL.NS,telecommunicationserviceprovider
RCOM.NS,telecommunicationserviceprovider
