Symbol,industry
PAGEIND.NS,textile
KPRMILL.NS,textile
MANYAVAR.NS,textile
SWANENERGY.NS,textile
WELSPUNLIV.NS,textile
VTL.NS,textile
RAYMONDLSL.NS,textile
ALOKINDS.NS,textile
ARVIND.NS,textile
GARFIBRES.NS,textile
JINDWORLD.NS,textile
PDSL.NS,textile
GOKEX.NS,textile
ICIL.NS,textile
LUXIND.NS,textile
PGIL.NS,textile
KITEX.NS,textile
BOMDYEING.NS,textile
KKCL.NS,textile
DOLLAR.NS,textile
MAYURUNIQ.NS,textile
HIMATSEIDE.NS,textile
SPAL.NS,textile
RUPA.NS,textile
CANTABIL.NS,textile
SANGAMIND.NS,textile
MONTECARLO.NS,textile
AYMSYNTEX.NS,textile
SPORTKING.NS,textile
CENTENKA.NS,textile
FAZEQ.NS,textile
RSWM.NS,textile
RUBYMILLS.NS,textile
SBC.NS,textile
FILATFASH.NS,textile
GLOSTERLTD.NS,textile
CHEVIOT.NS,textile
NDL.NS,textile
ASHIMASYN.NS,textile
DONEAR.NS,textile
LEMERITE.NS,textile
IRISDOREME.NS,textile
ORBTEXP.NS,textile
